#,Name,%Complete,AvgTime,Std,NoObs
0,SAPRepeat_forest5_1,"84,4000000",475.43364928909955,53.194172661731486,384.0
1,SAPRepeat_forest5_2,"89,80",442.0890868596882,43.221381651974006,374.0
2,SAPRepeat_forest5_3,"94,70",477.7117212249208,46.216609281613664,496.0
3,SAPRepeat_forest5_4,"89,90",476.7775305895439,53.628677456537986,380.0
4,SAPRepeat_forest5_5,"95,80",473.53131524008353,50.39508377022022,437.0
5,SAPRepeat_forest5_6,"82,50",507.6060606060606,64.7287203333754,468.0
6,SAPRepeat_forest5_7,"92,80",505.8243534482759,54.61961298312904,417.0
7,SAPRepeat_forest5_8,"86,30",466.4727694090382,54.91454553938646,377.0
8,SAPRepeat_forest5_9,"90,00",460.1411111111111,49.66028011386619,384.0
9,SAPRepeat_forest5_10,"92,50",627.0367567567567,85.45666675095674,618.0
,,,,,
,,"89,87",,,
